Mileage,Engine,Kerb Weight,Fuel,Transmission Type,Power,No. of Cylinders,Registration Year
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,Jan 2016
21.56 kmpl,1462 cc,1045 kg,Petrol,Manual,103.25 bhp,4.0,Sept 2018
21.01 kmpl,1197 cc,865-890 kg,Petrol,Manual,81.80 bhp,4.0,Nov 2020
21.79 kmpl,998 cc,805-825 kg,Petrol,Manual,67.05 bhp,3.0,Oct 2021
20.52 kmpl,1197 cc,830-845 kg,Petrol,Manual,81.80 bhp,4.0,Mar 2019
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Aug 2017
23.84 kmpl,1199 cc,1012 kg,Petrol,Manual,84 bhp,3.0,Jul 2018
19.5 kmpl,1199 cc,917 kg,Petrol,Manual,88.76 bhp,4.0,Jun 2017
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Feb 2019
20.51 kmpl,998 cc,885 kg,Petrol,Manual,67.04 bhp,3.0,Jun 2017
22.41 kmpl,1197 cc,880-915 kg,Petrol,Manual,88.50 bhp,4.0,Mar 2022
20.85 kmpl,1197 cc,945 kg,Petrol,Manual,83.14 bhp,4.0,Oct 2014
20.7 kmpl,1197 cc,1140 kg,Petrol,Automatic,81.86 bhp,4.0,Dec 2019
19.5 kmpl,1582 cc,1329 kg,Diesel,Automatic,126.24 bhp,4.0,May 2014
17.4 kmpl,1497 cc,1049 kg,Petrol,Manual,117.3 bhp,4.0,Apr 2014
25.24 kmpl,998 cc,810 kg,Petrol,Manual,67.77 bhp,3.0,Aug 2015
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Nov 2013
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Aug 2015
21.1 kmpl,814 cc,880 kg,Petrol,Manual,55.2 bhp,3.0,Apr 2016
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Apr 2014
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Feb 2015
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Jan 2014
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,Apr 2010
22.35 kmpl,1197 cc,920-955 kg,Petrol,Manual,88.50 bhp,4.0,May 2023
23.84 kmpl,1199 cc,980 kg,Petrol,Manual,84 bhp,3.0,Apr 2018
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jul 2020
14.28 kmpl,1798 cc,1185 kg,Petrol,Automatic,138.03 bhp,4.0,Mar 2016
,,,,,,,
17.03 kmpl,1462 cc,1110-1130 kg,Petrol,Manual,103.26 bhp,4.0,Jan 2020
17.8 kmpl,1496 cc,1135 kg,Petrol,Automatic,105.5 bhp,4.0,Jul 2018
18 kmpl,1497 cc,1100 kg,Petrol,Automatic,117.6 bhp,4.0,May 2017
17.03 kmpl,1462 cc,1115-1130 kg,Petrol,Manual,103.26 bhp,4.0,Mar 2022
