Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Transmission Type,Gearbox,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2019.0,Third Party,CNG,5.0,63623,1,1086,Manual,FWD,30.48,In-Line,58.0,5500.0,84.33,4500.0,3.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,180.0,2400.0,Unknown,540000.0,Unknown,9263982000.0
2019.0,Comprehensive,CNG,5.0,81000,1,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,235000.0,137,9146858500.0
2013.0,Comprehensive,CNG,5.0,68000,1,796,Manual,FWD,30.46,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,249000.0,140,7461361250.0
2014.0,Comprehensive,CNG,7.0,72000,2,1373,Manual,FWD,22.8,Standard,80.9,6000.0,110.0,4000.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,185.0,2740.0,1820.0,771000.0,164,12181159875.0
2023.0,Unknown,CNG,5.0,28276,2,998,Manual,FWD,34.43,Standard,55.92,5300.0,82.1,3400.0,4.0,Manual,5.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Ventilated Disc,Drum,188.0,2435.0,1320.0,799000.0,Unknown,9509174875.0
2022.0,Comprehensive,CNG,5.0,29121,1,1086,Manual,FWD,30.48,Standard,59.18,5500.0,85.32,4500.0,3.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Drum,165.0,2400.0,Unknown,336000.0,Unknown,9263982000.0
2020.0,Comprehensive,CNG,4.0,16786,1,998,Manual,FWD,17.01,Standard,58.33,5500.0,78.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,165.0,2380.0,1170.0,191000.0,Unknown,8475003200.0
2022.0,Comprehensive,CNG,5.0,43096,1,1199,Manual,FWD,26.49,V-Type,72.4,6000.0,95.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,165.0,2450.0,Unknown,380000.0,121,10258671852.0
2022.0,Comprehensive,CNG,5.0,43096,1,1199,Manual,FWD,26.49,V-Type,72.4,6000.0,95.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,165.0,2450.0,Unknown,559000.0,121,10258671852.0
2017.0,Third Party,CNG,5.0,41625,1,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,650000.0,137,9146858500.0
2022.0,Comprehensive,CNG,5.0,30478,1,1199,Manual,FWD,26.49,Standard,74.41,6000.0,96.5,3500.0,4.0,Manual,5.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,168.0,2400.0,Unknown,1250000.0,Unknown,9696992565.0
2021.0,Third Party,CNG,5.0,68180,1,998,Manual,FWD,32.52,Standard,58.33,5500.0,78.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,180.0,2435.0,1340.0,563000.0,Unknown,9917842500.0
2021.0,Third Party,CNG,5.0,68180,1,998,Manual,FWD,32.52,Standard,58.33,5500.0,78.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,188.0,2435.0,1340.0,553000.0,Unknown,9917842500.0
2018.0,Third Party,CNG,5.0,62599,1,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,260000.0,137,9146858500.0
2022.0,Comprehensive,CNG,5.0,21591,2,1197,Manual,FWD,27.0,Standard,68.0,6000.0,95.2,4000.0,4.0,Manual,5.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,192.0,2450.0,Unknown,819999.0,160,9741984000.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,301000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,380000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,380000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,265000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,380000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,265000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,360000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,1150000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,540000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,540000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,165000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,248000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,248000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,248000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,248000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,248000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,430999.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,462000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,462000.0,140,7571248750.0
2018.0,Third Party,CNG,5.0,63632,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,462000.0,140,7571248750.0
