Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2011.0,Third Party,5.0,66000,2,1497,Manual,FWD,17.0,In-Line,118.0,6600.0,146.0,4800.0,4.0,EFI,No,Manual,5.0,17.0,42.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,160.0,2550.0,Unknown,210000.0,Unknown,11088012000.0
2022.0,Unknown,5.0,60000,1,1199,Manual,FWD,19.33,Standard,86.83,6000.0,113.0,3300.0,4.0,EFI,No,Manual,5.0,19.33,37.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,165.0,2501.0,Unknown,260000.0,Unknown,10664731350.0
2019.0,Unknown,5.0,30000,1,1197,Manual,FWD,17.0,Standard,110.0,5000.0,200.0,3500.0,4.0,MPFi,Yes,Manual,6.0,17.0,42.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Collapsible/Fixed,Solid Disc,Solid Disc,180.0,2600.0,Unknown,390000.0,175,11836254165.0
2011.0,Unknown,5.0,100000,1,1497,Manual,FWD,17.0,In-Line,118.0,6600.0,146.0,4800.0,4.0,EFI,No,Manual,5.0,17.0,42.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,160.0,2550.0,Unknown,1250000.0,Unknown,11088012000.0
2024.0,Zero Dep,5.0,6000,1,1451,Automatic,FWD,12.34,Turbocharged,141.04,5000.0,250.0,3600.0,4.0,MPFi,Yes,Automatic,6.0,12.34,60.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,165.0,2750.0,Unknown,990000.0,Unknown,15175890400.0
2017.0,Comprehensive,5.0,60000,1,1373,Automatic,FWD,19.12,V-Type,91.1,6000.0,130.0,4000.0,4.0,MPFi,No,Automatic,4.0,19.12,43.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,170.0,2650.0,1490.0,1775000.0,190,11535034500.0
2022.0,Unknown,5.0,35327,1,998,Automatic,FWD,19.71,Turbocharged,118.41,6000.0,172.0,4000.0,4.0,Direct Injection,No,Automatic,7.0,17.0,45.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,160.0,2500.0,Unknown,595000.0,Unknown,11434049550.0
2016.0,Unknown,5.0,26200,1,1197,Automatic,FWD,18.19,Standard,103.2,5000.0,175.0,4100.0,4.0,Direct Injection,Yes,Automatic,7.0,18.19,55.0,BS IV,MacPherson Strut,Trailing Arm,Power,Tilt and Telescopic,Ventilated Disc,Drum,163.0,2553.0,1720.0,994999.0,185,10941780870.0
2016.0,Unknown,5.0,30000,2,1497,Manual,FWD,17.8,V-Type,117.3,6600.0,145.0,4600.0,4.0,MPFi,No,Manual,5.0,17.8,40.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,165.0,2600.0,Unknown,1791000.0,195,11251071000.0
2025.0,Zero Dep,5.0,3500,1,999,Automatic,FWD,19.05,Standard,114.0,5500.0,178.0,4000.0,4.0,CRDi,Yes,Automatic,6.0,19.05,45.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,189.0,2566.0,1660.0,500000.0,Unknown,11532274615.0
